km,make,transmissionType,year,price,seller_type,bodyType,cubicCapacity,hp,acceleration,length,width
79990,500,0,2018,29490,0,500,2143.0,160.0,8.8,4687.0,1903.0
91718,500,0,2018,30500,0,500,2143.0,190.0,7.6,4687.0,1903.0
34220,500,1,2018,13900,0,700,1368.0,78.0,13.0,4063.0,1720.0
26000,500,0,2019,37950,0,500,2143.0,210.0,6.6,4687.0,1903.0
129000,500,1,2019,23490,0,900,2387.0,200.0,8.5,4393.0,1830.0
40352,500,1,2017,24699,0,700,2143.0,150.0,8.4,4643.0,1860.0
67959,500,0,2016,23499,0,700,2143.0,180.0,6.8,4643.0,1860.0
59700,500,0,2017,19990,0,700,1995.0,200.0,6.7,4643.0,1860.0
59700,500,0,2017,19990,0,700,1995.0,200.0,6.7,4643.0,1860.0
18162,500,0,2018,18900,0,700,1598.0,120.0,10.2,4351.0,1798.0
11067,500,0,2018,35199,0,500,2143.0,150.0,8.8,4687.0,1903.0
66724,500,0,2018,27500,0,700,1995.0,200.0,6.7,4643.0,1860.0
77348,500,0,2017,32990,0,500,2143.0,210.0,6.6,4687.0,1903.0
66724,500,0,2018,27500,0,700,1995.0,200.0,6.7,4643.0,1860.0
112126,500,1,2014,10299,0,700,1598.0,105.0,11.3,4351.0,1798.0
66724,500,0,2018,27500,0,700,1995.0,200.0,6.7,4643.0,1860.0
100719,500,0,2017,14899,0,700,1598.0,120.0,10.0,4351.0,1798.0
61424,500,0,2019,69900,0,500,2891.0,510.0,3.8,4702.0,1955.0
100719,500,0,2017,14899,0,700,1598.0,120.0,10.0,4351.0,1798.0
86241,500,0,2018,28990,0,500,2143.0,180.0,7.6,4687.0,1903.0
63275,500,0,2017,30199,0,500,2143.0,210.0,6.6,4687.0,1903.0
66724,500,0,2018,27500,0,700,1995.0,200.0,6.7,4643.0,1860.0
100719,500,0,2017,14899,0,700,1598.0,120.0,10.0,4351.0,1798.0
125750,500,0,2018,23990,0,500,2143.0,180.0,7.6,4687.0,1903.0
105990,500,0,2018,26990,0,500,2143.0,180.0,7.6,4687.0,1903.0
